photometry,cell,date,JQ-1,CC-90009,viability
0.014583333333333337,Karpas299,20250120,4000.0,64000.0,0.014849384811200683
0.01658333333333334,Karpas299,20250120,1000.0,64000.0,0.016885871871022494
0.04058333333333333,Karpas299,20250120,250.0,64000.0,0.041323716588884174
0.06258333333333332,Karpas299,20250120,62.5,64000.0,0.06372507424692404
0.06608333333333333,Karpas299,20250120,15.625,64000.0,0.06728892660161222
0.07208333333333333,Karpas299,20250120,0.0,64000.0,0.07339838778107764
0.00708333333333333,Karpas299,20250120,256000.0,64000.0,0.007212558336868898
0.012083333333333335,Karpas299,20250120,64000.0,64000.0,0.012303775986423422
0.011583333333333334,Karpas299,20250120,16000.0,64000.0,0.011794654221467969
0.013583333333333336,Karpas299,20250120,4000.0,64000.0,0.013831141281289778
0.020583333333333342,Karpas299,20250120,1000.0,64000.0,0.020958845990666112
0.03858333333333333,Karpas299,20250120,250.0,64000.0,0.03928722952906236
0.06258333333333332,Karpas299,20250120,62.5,64000.0,0.06372507424692404
0.07358333333333333,Karpas299,20250120,15.625,64000.0,0.074925753075944
0.07558333333333334,Karpas299,20250120,0.0,64000.0,0.0769622401357658
0.005583333333333343,Karpas299,20250120,256000.0,64000.0,0.005685193042002556
0.009583333333333333,Karpas299,20250120,64000.0,64000.0,0.00975816716164616
0.010583333333333333,Karpas299,20250120,16000.0,64000.0,0.010776410691557065
0.012583333333333335,Karpas299,20250120,4000.0,64000.0,0.012812897751378874
0.01958333333333334,Karpas299,20250120,1000.0,64000.0,0.019940602460755207
0.044083333333333335,Karpas299,20250120,250.0,64000.0,0.04488756894357234
0.07008333333333333,Karpas299,20250120,62.5,64000.0,0.07136190072125584
0.08458333333333334,Karpas299,20250120,15.625,64000.0,0.08612643190496395
0.11008333333333334,Karpas299,20250120,0.0,64000.0,0.11209164191769198
0.003583333333333341,Karpas299,20250120,256000.0,16000.0,0.0036487059821807464
0.013583333333333336,Karpas299,20250120,64000.0,16000.0,0.013831141281289778
0.031583333333333324,Karpas299,20250120,16000.0,16000.0,0.032159524819686036
0.04708333333333334,Karpas299,20250120,4000.0,16000.0,0.047942299533305054
0.06458333333333333,Karpas299,20250120,1000.0,16000.0,0.06576156130674586
0.11358333333333334,Karpas299,20250120,250.0,16000.0,0.11565549427238016
0.18908333333333333,Karpas299,20250120,62.5,16000.0,0.19253288078065336
0.19558333333333333,Karpas299,20250120,15.625,16000.0,0.19915146372507425
0.14358333333333334,Karpas299,20250120,0.0,16000.0,0.14620280016970727
0.005583333333333343,Karpas299,20250120,256000.0,16000.0,0.005685193042002556
0.014583333333333337,Karpas299,20250120,64000.0,16000.0,0.014849384811200683
0.031583333333333324,Karpas299,20250120,16000.0,16000.0,0.032159524819686036
0.04558333333333334,Karpas299,20250120,4000.0,16000.0,0.0464149342384387
0.06458333333333333,Karpas299,20250120,1000.0,16000.0,0.06576156130674586
0.10708333333333334,Karpas299,20250120,250.0,16000.0,0.10903691132795927
0.1745833333333333,Karpas299,20250120,62.5,16000.0,0.17776834959694526
0.21958333333333335,Karpas299,20250120,15.625,16000.0,0.22358930844293595
0.16558333333333336,Karpas299,20250120,0.0,16000.0,0.16860415782774718
0.00708333333333333,Karpas299,20250120,256000.0,16000.0,0.007212558336868898
0.015083333333333337,Karpas299,20250120,64000.0,16000.0,0.015358506576156136
0.031583333333333324,Karpas299,20250120,16000.0,16000.0,0.032159524819686036
0.04658333333333334,Karpas299,20250120,4000.0,16000.0,0.0474331777683496
0.06558333333333333,Karpas299,20250120,1000.0,16000.0,0.06677980483665676
0.11458333333333334,Karpas299,20250120,250.0,16000.0,0.11667373780229107
0.1755833333333333,Karpas299,20250120,62.5,16000.0,0.17878659312685616
0.22808333333333336,Karpas299,20250120,15.625,16000.0,0.23224437844717866
0.16308333333333336,Karpas299,20250120,0.0,16000.0,0.1660585490029699
0.00658333333333333,Karpas299,20250120,256000.0,4000.0,0.006703436571913446
0.014583333333333337,Karpas299,20250120,64000.0,4000.0,0.014849384811200683
0.04058333333333333,Karpas299,20250120,16000.0,4000.0,0.041323716588884174
0.06708333333333333,Karpas299,20250120,4000.0,4000.0,0.06830717013152311
0.09158333333333335,Karpas299,20250120,1000.0,4000.0,0.09325413661434029
0.15458333333333335,Karpas299,20250120,250.0,4000.0,0.15740347899872723
0.2505833333333333,Karpas299,20250120,62.5,4000.0,0.25515485787017395
0.3100833333333333,Karpas299,20250120,15.625,4000.0,0.3157403478998727
0.28008333333333335,Karpas299,20250120,0.0,4000.0,0.28519304200254564
0.00658333333333333,Karpas299,20250120,256000.0,4000.0,0.006703436571913446
0.01758333333333334,Karpas299,20250120,64000.0,4000.0,0.017904115400933396
0.042583333333333334,Karpas299,20250120,16000.0,4000.0,0.043360203648705985
0.06558333333333333,Karpas299,20250120,4000.0,4000.0,0.06677980483665676
0.09258333333333332,Karpas299,20250120,1000.0,4000.0,0.09427238014425116
0.16308333333333336,Karpas299,20250120,250.0,4000.0,0.1660585490029699
0.26208333333333333,Karpas299,20250120,62.5,4000.0,0.26686465846414936
0.31958333333333333,Karpas299,20250120,15.625,4000.0,0.32541366143402634
0.27508333333333335,Karpas299,20250120,0.0,4000.0,0.28010182435299114
0.005583333333333343,Karpas299,20250120,256000.0,4000.0,0.005685193042002556
0.015583333333333338,Karpas299,20250120,64000.0,4000.0,0.01586762834111159
0.044583333333333336,Karpas299,20250120,16000.0,4000.0,0.045396690708527795
0.07258333333333333,Karpas299,20250120,4000.0,4000.0,0.07390750954603309
0.10158333333333333,Karpas299,20250120,1000.0,4000.0,0.1034365719134493
0.18208333333333332,Karpas299,20250120,250.0,4000.0,0.18540517607127704
0.3085833333333333,Karpas299,20250120,62.5,4000.0,0.31421298260500635
0.3690833333333333,Karpas299,20250120,15.625,4000.0,0.37581671616461604
0.3660833333333333,Karpas299,20250120,0.0,4000.0,0.3727619855748833
0.005583333333333343,Karpas299,20250120,256000.0,1000.0,0.005685193042002556
0.01808333333333334,Karpas299,20250120,64000.0,1000.0,0.01841323716588885
0.06008333333333332,Karpas299,20250120,16000.0,1000.0,0.061179465422146785
0.08758333333333335,Karpas299,20250120,4000.0,1000.0,0.08918116249469667
