,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
71,GO_Biological_Process_2025,Regulation of T Cell Proliferation (GO:0042129),2/83,0.0226710782776641,0.1384019803538902,0,0,9.08230452674897,34.391646955118915,SDC4;NCK2
72,GO_Biological_Process_2025,Tooth Mineralization (GO:0034505),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,STIM1
73,GO_Biological_Process_2025,Glucan Biosynthetic Process (GO:0009250),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,GYG1
74,GO_Biological_Process_2025,Glycogen Biosynthetic Process (GO:0005978),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,GYG1
75,GO_Biological_Process_2025,Regulation of Store-Operated Calcium Entry (GO:2001256),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,STIM1
76,GO_Biological_Process_2025,Regulation of Translation in Response to Endoplasmic Reticulum Stress (GO:0036490),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,NCK2
77,GO_Biological_Process_2025,Myeloid Leukocyte Mediated Immunity (GO:0002444),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,SERPINB9
78,GO_Biological_Process_2025,Negative Regulation of PERK-mediated Unfolded Protein Response (GO:1903898),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,NCK2
79,GO_Biological_Process_2025,Serine Family Amino Acid Catabolic Process (GO:0009071),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,SHMT1
80,GO_Biological_Process_2025,Positive Regulation of Cyclase Activity (GO:0031281),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,STIM1
81,GO_Biological_Process_2025,Store-Operated Calcium Entry (GO:0002115),1/9,0.0249243557733439,0.1384019803538902,0,0,45.30909090909091,167.27707721282206,STIM1
82,GO_Biological_Process_2025,Apoptotic Process (GO:0006915),3/232,0.0272232830391394,0.1384019803538902,0,0,4.873115267364258,17.561161075670753,PTK2B;BID;BCL2L1
83,GO_Biological_Process_2025,Tetrahydrofolate Metabolic Process (GO:0046653),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,SHMT1
84,GO_Biological_Process_2025,L-serine Metabolic Process (GO:0006563),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,SHMT1
85,GO_Biological_Process_2025,N-acetylneuraminate Metabolic Process (GO:0006054),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,NANS
86,GO_Biological_Process_2025,Glycerol Metabolic Process (GO:0006071),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,PGP
87,GO_Biological_Process_2025,Regulation of Low-Density Lipoprotein Particle Clearance (GO:0010988),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,KHSRP
88,GO_Biological_Process_2025,Regulation of Macrophage Migration (GO:1905521),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,PTK2B
89,GO_Biological_Process_2025,Heme Catabolic Process (GO:0042167),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,BLVRA
90,GO_Biological_Process_2025,One-Carbon Metabolic Process (GO:0006730),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,SHMT1
91,GO_Biological_Process_2025,Pigment Catabolic Process (GO:0046149),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,BLVRA
92,GO_Biological_Process_2025,Serine Family Amino Acid Metabolic Process (GO:0009069),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,SHMT1
93,GO_Biological_Process_2025,Positive Regulation of Dendritic Spine Morphogenesis (GO:0061003),1/10,0.0276557869621033,0.1384019803538902,0,0,40.27272727272727,144.49533489369065,DBN1
94,GO_Biological_Process_2025,Positive Regulation of Cellular Component Biogenesis (GO:0044089),2/93,0.027999829129184,0.1384019803538902,0,0,8.08017908017908,28.891139831910763,SDC4;BID
95,GO_Biological_Process_2025,Positive Regulation of mRNA Metabolic Process (GO:1903313),1/11,0.0303797035423347,0.1384019803538902,0,0,36.24363636363636,126.63456015986765,KHSRP
96,GO_Biological_Process_2025,Folic Acid Metabolic Process (GO:0046655),1/11,0.0303797035423347,0.1384019803538902,0,0,36.24363636363636,126.63456015986765,SHMT1
