,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
40,KEGG_2021_Human,Thyroid hormone synthesis,1/75,0.1899704861486738,0.4199808254662731,0,0,4.882063882063882,8.108554262113028,PDIA4
41,KEGG_2021_Human,Chronic myeloid leukemia,1/76,0.1922471028417366,0.4199808254662731,0,0,4.816727272727273,7.942656787655047,BCL2L1
42,KEGG_2021_Human,Pancreatic cancer,1/76,0.1922471028417366,0.4199808254662731,0,0,4.816727272727273,7.942656787655047,BCL2L1
43,KEGG_2021_Human,Bacterial invasion of epithelial cells,1/77,0.1945174349528001,0.4199808254662731,0,0,4.75311004784689,7.781950904843825,CD2AP
44,KEGG_2021_Human,RNA degradation,1/79,0.1990393136073361,0.4201941065043763,0,0,4.630769230769231,7.475232743138356,ENO2
45,KEGG_2021_Human,ErbB signaling pathway,1/85,0.2124558821232867,0.4387675826459183,0,0,4.298701298701299,6.658778265064262,NCK2
46,KEGG_2021_Human,ECM-receptor interaction,1/88,0.2190811462961649,0.4428235935773548,0,0,4.149843260188088,6.300761329957106,SDC4
47,KEGG_2021_Human,Small cell lung cancer,1/92,0.2278297445070806,0.4459218757394994,0,0,3.966633366633367,5.867272176277879,BCL2L1
48,KEGG_2021_Human,GnRH signaling pathway,1/93,0.2300018095919523,0.4459218757394994,0,0,3.923320158102767,5.765978491469503,PTK2B
49,KEGG_2021_Human,Glycerophospholipid metabolism,1/98,0.2407724437654913,0.4522643360099405,0,0,3.720149953139644,5.297132709549115,PCYT2
50,KEGG_2021_Human,Amoebiasis,1/102,0.2492822911987013,0.4522643360099405,0,0,3.572097209720972,4.96224786993517,SERPINB9
51,KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.2535020143517894,0.4522643360099405,0,0,3.5023830538393645,4.8066127481676375,BCL2L1
52,KEGG_2021_Human,Glucagon signaling pathway,1/107,0.2597879556852913,0.4522643360099405,0,0,3.4027444253859347,4.586523603874456,PYGB
53,KEGG_2021_Human,Insulin resistance,1/108,0.2618716943194929,0.4522643360099405,0,0,3.370773152081563,4.516501007732415,PYGB
54,KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.2639496715600547,0.4522643360099405,0,0,3.33939393939394,4.448062148205153,ENO2
55,KEGG_2021_Human,Toxoplasmosis,1/112,0.2701491911942356,0.4522643360099405,0,0,3.2486486486486488,4.251769343128155,BCL2L1
56,KEGG_2021_Human,Amyotrophic lateral sclerosis,2/364,0.2713586016059643,0.4522643360099405,0,0,2.003478616738285,2.6131653681330964,BID;BCL2L1
57,KEGG_2021_Human,Sphingolipid signaling pathway,1/119,0.2844159881224491,0.4658537736488392,0,0,3.054853620955316,3.8409205070123225,BID
58,KEGG_2021_Human,Platelet activation,1/124,0.2944385008409751,0.4730796034689826,0,0,2.9299334811529936,3.5823860798545817,STIM1
59,KEGG_2021_Human,Osteoclast differentiation,1/127,0.3003856947752993,0.4730796034689826,0,0,2.85974025974026,3.4393752386402934,FHL2
60,KEGG_2021_Human,Insulin signaling pathway,1/137,0.3198562854078268,0.4730796034689826,0,0,2.648128342245989,3.018557782468822,PYGB
61,KEGG_2021_Human,Autophagy,1/137,0.3198562854078268,0.4730796034689826,0,0,2.648128342245989,3.018557782468822,BCL2L1
62,KEGG_2021_Human,Yersinia infection,1/137,0.3198562854078268,0.4730796034689826,0,0,2.648128342245989,3.018557782468822,PTK2B
63,KEGG_2021_Human,Estrogen signaling pathway,1/137,0.3198562854078268,0.4730796034689826,0,0,2.648128342245989,3.018557782468822,FKBP5
64,KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.3236860444787776,0.4730796034689826,0,0,2.609486166007905,2.943451419101904,SDC4
65,KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.3406594916749508,0.4859452175094089,0,0,2.44860853432282,2.636837623653249,PTK2B
66,KEGG_2021_Human,Spliceosome,1/150,0.3443741659287117,0.4859452175094089,0,0,2.4154972544234288,2.574984134771403,PCBP1
67,KEGG_2021_Human,Non-alcoholic fatty liver disease,1/155,0.3535711608304614,0.4859452175094089,0,0,2.336481700118064,2.429171121426597,BID
68,KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.3662344121817574,0.4859452175094089,0,0,2.2341050254093733,2.244117569560288,BCL2L1
69,KEGG_2021_Human,Hippo signaling pathway,1/163,0.3680234439455933,0.4859452175094089,0,0,2.22020202020202,2.2193331140986974,MOB1B
70,KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.3768944681315739,0.4859452175094089,0,0,2.153184540010887,2.1010560630930057,BCL2L1
71,KEGG_2021_Human,Tight junction,1/169,0.3786539400480311,0.4859452175094089,0,0,2.14025974025974,2.0784759590667927,CLDN5
72,KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.3821582579351044,0.4859452175094089,0,0,2.114866310160428,2.0343331916323386,PDIA4
73,KEGG_2021_Human,Influenza A,1/172,0.3839031303942674,0.4859452175094089,0,0,2.102392344497608,2.012756894859688,BID
74,KEGG_2021_Human,Pathways of neurodegeneration,2/475,0.385309652430483,0.4859452175094089,0,0,1.5246261060214548,1.454048077633872,BID;BCL2L1
75,KEGG_2021_Human,Tuberculosis,1/180,0.3976889719233683,0.4859452175094089,0,0,2.007618080243778,1.8511946315341303,BID
76,KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.3993907557114703,0.4859452175094089,0,0,1.9963636363636363,1.8322924983111388,BCL2L1
77,KEGG_2021_Human,Axon guidance,1/182,0.4010878168695137,0.4859452175094089,0,0,1.9852335509794072,1.813659505022421,NCK2
78,KEGG_2021_Human,Herpes simplex virus 1 infection,2/498,0.4081282633280509,0.4859452175094089,0,0,1.45221027479092,1.3014327757871236,BID;BCL2L1
79,KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.4178014970581873,0.4859452175094089,0,0,1.8803426939552597,1.6410669174989423,BCL2L1
80,KEGG_2021_Human,Chemokine signaling pathway,1/192,0.4178014970581873,0.4859452175094089,0,0,1.8803426939552597,1.6410669174989423,PTK2B
81,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.4194474509028583,0.4859452175094089,0,0,1.8704545454545451,1.6250827572185065,BID
